feature,mean_abs_shap
Number,0.10856262056838316
ack_flag_number,0.05263400715885172
HTTPS,0.048682607815608736
IAT,0.037512700521302574
Header_Length,0.036203672490522316
Tot size,0.028924495709026485
Rate,0.028589538285337283
ack_count,0.02835418882991897
Tot sum,0.02025071991650464
Max,0.016955814943781216
AVG,0.01529486216957552
syn_count,0.012883592150149984
syn_flag_number,0.01203907699448498
Time_To_Live,0.010384572279134354
Variance,0.009681337719464986
Std,0.008744326471406055
TCP,0.008330904157163983
rst_count,0.007252775323893813
rst_flag_number,0.005797878219609667
psh_flag_number,0.0051235979352437615
Min,0.0044181455019257805
HTTP,0.0034644468122489737
fin_count,0.003455397595606948
UDP,0.003227412420802043
fin_flag_number,0.0025950515424507706
ICMP,0.001243945485211939
Protocol Type,0.0008977997260528579
DNS,0.0006874624610177892
LLC,0.0004656632504834842
ARP,0.0004181837583113235
IPv,0.0002268360265004975
DHCP,4.75405304049599e-05
SSH,1.4677332941382055e-05
ece_flag_number,1.2639359578130951e-05
cwr_flag_number,2.2477095636054174e-06
IGMP,1.4974267937237701e-06
SMTP,2.493205269247745e-07
IRC,1.380520746248736e-07
Telnet,9.486365652158681e-17
